name,level,lat,lon,matched
"Fouga Magister, Saint-Dalmas-de-Tende",postcode,44.08999,7.57858,"06430, Tende, Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France"
"AéroRétro, Saint-Rambert-d'Albon",postcode,45.26219,4.86702,"26140, Anneyron, Valence, Drôme, Auvergne-Rhône-Alpes, France métropolitaine, France"
"Collection Castel-Mauboussin, Cuers",postcode,43.24746,6.13323,"83390, Pierrefeu-du-Var, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, France"
"Étendard IV et Flamant, Caserne des Batteries, Fréjus",postcode,43.53410,6.74411,"83600, Bagnols-en-Forêt, Draguignan, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, France"
"ISAE-SUPAERO Mirage III Display, Toulouse",postcode,43.56863,1.46530,"31400, Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville, Toulouse, Haute-Garonne, Occitanie, Fr"
"Aérocampus Aquitaine, Latresne",postcode,44.78344,-0.47162,"33360, Cénac, Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, France"
"Mirage III Monument, Aérodrome de Montceau-les-Mines",address,46.60259,4.33702,"Aérodrome de Montceau-les-Mines - Pouilloux, Rue de l’Aérodrome, Les Seux, Thomasse, Pouilloux, Autun, Saône-e"
"Mirage III, Château Pas de Loup, Saix",postcode,43.57591,2.19091,"81710, Saïx, Castres, Tarn, Occitanie, France métropolitaine, France"
"Mirage F1 Gate Guard, Aérodrome d'Avignon",city,43.94925,4.80590,"Avignon, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84000, France"
"Le Noratlas de Provence, Marseille-Provence",address,43.43752,5.21303,"Aéroport de Marseille Provence, Rue des Capucines, Marignane, Istres, Bouches-du-Rhône, Provence-Alpes-Côte d'"
"Chapelle Noratlas ECAUT, Viuz-en-Sallaz",postcode,46.15063,6.40067,"74250, Viuz-en-Sallaz, Bonneville, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, France"
"Noratlas du Quartier Soult, Tarbes",postcode,43.23467,0.06616,"65000, Tarbes, Hautes-Pyrénées, Occitanie, France métropolitaine, France"
"Noratlas du 1er RCP, Pamiers",postcode,43.12462,1.60388,"09100, Pamiers, Ariège, Occitanie, France métropolitaine, France"
Noratlas du Camp de Caylus,postcode,44.26177,1.79474,"82160, Lacapelle-Livron, Montauban, Tarn-et-Garonne, Occitanie, France métropolitaine, France"
"Caravelle Guyane, Aéroport d'Avignon-Provence",city,43.94925,4.80590,"Avignon, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84000, France"
"Les Ailes de la Mer, Saint-Pierre-d'Irube",postcode,43.46322,-1.40735,"64990, Mouguerre, Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, France"
"Natura Lodge Cessna, Barjac",address,44.31599,4.35328,"Natura Lodge, Chemin du Brugas, Barjac, Alès, Gard, Occitanie, France métropolitaine, 30430, France"
"Nostalgic'Aéro, Saint-Yan",address,46.41237,4.01815,"Aéroport de Saint-Yan, D 382, La Guinchère, Saint-Yan, Charolles, Saône-et-Loire, Bourgogne-Franche-Comté, Fra"
"Héritage Avions Morane-Saulnier, Tarbes",postcode,43.23467,0.06616,"65000, Tarbes, Hautes-Pyrénées, Occitanie, France métropolitaine, France"
"Escadrille du Souvenir, Niort-Souché",address,46.31226,-0.39970,"Aérodrome de Niort - Marais poitevin, Chemin du Fief Bimard, Zone d'Activité Commerciale Terre de Sport, Fleur"
"Fouga Magister Monument, Salon-de-Provence",postcode,43.64627,5.06776,"13300, Salon-de-Provence, Aix-en-Provence, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine"
